import time: self [us] | cumulative | imported package
import time:       182 |        371 |                           openai.types.responses.response_input_message_content_list
import time:       392 |        763 |                         openai.types.responses.easy_input_message
import time:      1367 |       1367 |                           openai.types.responses.response_output_text
import time:       300 |        300 |                           openai.types.responses.response_output_refusal
import time:       633 |       2300 |                         openai.types.responses.response_output_message
import time:       508 |        508 |                         openai.types.responses.response_reasoning_item
import time:      1995 |       1995 |                         openai.types.responses.response_computer_tool_call
import time:       760 |        760 |                         openai.types.responses.response_function_tool_call
import time:       798 |        798 |                         openai.types.responses.response_function_web_search
import time:       718 |        718 |                         openai.types.responses.response_file_search_tool_call
import time:       723 |        723 |                         openai.types.responses.response_code_interpreter_tool_call
import time:       347 |        347 |                         openai.types.responses.response_computer_tool_call_output_screenshot
import time:      2872 |      11780 |                       openai.types.responses.response_input_item
import time:       224 |        224 |                       openai.types.responses.tool_choice_options
import time:      1659 |       1659 |                       openai.types.responses.response_output_item
import time:       391 |        391 |                           openai.types.responses.response_format_text_json_schema_config
import time:       254 |        644 |                         openai.types.responses.response_format_text_config
import time:       351 |        994 |                       openai.types.responses.response_text_config
import time:       321 |        321 |                       openai.types.responses.tool_choice_function
import time:      1476 |      20674 |                     openai.types.responses.response
import time:       258 |        258 |                       openai.types.responses.computer_tool_param
import time:       259 |        259 |                       openai.types.responses.function_tool_param
import time:       230 |        230 |                       openai.types.responses.web_search_tool_param
import time:       309 |        309 |                       openai.types.responses.file_search_tool_param
import time:       458 |        458 |                               openai.types.chat.chat_completion_audio
import time:       566 |        566 |                               openai.types.chat.chat_completion_message_tool_call
import time:      1045 |       2068 |                             openai.types.chat.chat_completion_message
import time:       646 |        646 |                             openai.types.chat.chat_completion_token_logprob
import time:       990 |       3702 |                           openai.types.chat.chat_completion
import time:       172 |        172 |                           openai.types.chat.chat_completion_role
import time:       337 |        337 |                           openai.types.chat.chat_completion_tool
import time:      1482 |       1482 |                           openai.types.chat.chat_completion_chunk
import time:       543 |        543 |                           openai.types.chat.completion_list_params
import time:       554 |        554 |                             openai.types.chat.parsed_function_tool_call
import time:      1910 |       2464 |                           openai.types.chat.parsed_chat_completion
import time:       439 |        439 |                           openai.types.chat.chat_completion_deleted
import time:       229 |        229 |                           openai.types.chat.chat_completion_modality
import time:       272 |        272 |                             openai.types.chat.chat_completion_tool_param
import time:       261 |        261 |                             openai.types.chat.chat_completion_audio_param
import time:       196 |        196 |                                 openai.types.chat.chat_completion_content_part_text_param
import time:       213 |        408 |                               openai.types.chat.chat_completion_tool_message_param
import time:       279 |        279 |                                   openai.types.chat.chat_completion_content_part_image_param
import time:       203 |        203 |                                   openai.types.chat.chat_completion_content_part_input_audio_param
import time:       225 |        706 |                                 openai.types.chat.chat_completion_content_part_param
import time:       232 |        938 |                               openai.types.chat.chat_completion_user_message_param
import time:       230 |        230 |                               openai.types.chat.chat_completion_system_message_param
import time:       204 |        204 |                               openai.types.chat.chat_completion_function_message_param
import time:       232 |        232 |                                 openai.types.chat.chat_completion_message_tool_call_param
import time:       198 |        198 |                                 openai.types.chat.chat_completion_content_part_refusal_param
import time:       346 |        775 |                               openai.types.chat.chat_completion_assistant_message_param
import time:       207 |        207 |                               openai.types.chat.chat_completion_developer_message_param
import time:       229 |       2988 |                             openai.types.chat.chat_completion_message_param
import time:       184 |        184 |                             openai.types.chat.chat_completion_stream_options_param
import time:       199 |        199 |                             openai.types.chat.chat_completion_prediction_content_param
import time:       170 |        170 |                               openai.types.chat.chat_completion_named_tool_choice_param
import time:       180 |        349 |                             openai.types.chat.chat_completion_tool_choice_option_param
import time:       219 |        219 |                             openai.types.chat.chat_completion_function_call_option_param
import time:      1057 |       5525 |                           openai.types.chat.completion_create_params
import time:       192 |        192 |                           openai.types.chat.completion_update_params
import time:       324 |        324 |                             openai.types.chat.chat_completion_content_part_text
import time:       572 |        572 |                             openai.types.chat.chat_completion_content_part_image
import time:       515 |       1410 |                           openai.types.chat.chat_completion_store_message
import time:       179 |        179 |                           openai.types.chat.chat_completion_reasoning_effort
import time:       587 |      17256 |                         openai.types.chat
import time:        20 |      17275 |                       openai.types.chat.chat_completion_tool_param
import time:       753 |      19082 |                     openai.types.responses.tool_param
import time:       387 |        387 |                       openai.types.responses.response_input_message_item
import time:       371 |        371 |                       openai.types.responses.response_function_tool_call_item
import time:       584 |        584 |                       openai.types.responses.response_computer_tool_call_output_item
import time:       374 |        374 |                       openai.types.responses.response_function_tool_call_output_item
import time:      1929 |       3642 |                     openai.types.responses.response_item
import time:      1886 |       1886 |                     openai.types.responses.parsed_response
import time:       364 |        364 |                     openai.types.responses.response_item_list
import time:       309 |        309 |                     openai.types.responses.response_includable
import time:       386 |        386 |                     openai.types.responses.response_error_event
import time:       237 |        237 |                           openai.types.responses.response_input_file_param
import time:       199 |        199 |                           openai.types.responses.response_input_text_param
import time:       365 |        365 |                           openai.types.responses.response_input_image_param
import time:       227 |       1026 |                         openai.types.responses.response_input_message_content_list_param
import time:       296 |       1322 |                       openai.types.responses.easy_input_message_param
import time:       527 |        527 |                         openai.types.responses.response_output_text_param
import time:       649 |        649 |                         openai.types.responses.response_output_refusal_param
import time:       485 |       1660 |                       openai.types.responses.response_output_message_param
import time:      1246 |       1246 |                       openai.types.responses.response_reasoning_item_param
import time:      1184 |       1184 |                       openai.types.responses.response_computer_tool_call_param
import time:       700 |        700 |                       openai.types.responses.response_function_tool_call_param
import time:       442 |        442 |                       openai.types.responses.response_function_web_search_param
import time:       333 |        333 |                       openai.types.responses.response_file_search_tool_call_param
import time:       276 |        276 |                       openai.types.responses.response_code_interpreter_tool_call_param
import time:       163 |        163 |                       openai.types.responses.response_computer_tool_call_output_screenshot_param
import time:      1147 |       8470 |                     openai.types.responses.response_input_param
import time:       314 |        314 |                     openai.types.responses.response_failed_event
import time:       243 |        243 |                     openai.types.responses.response_prompt_param
import time:       331 |        331 |                     openai.types.responses.response_queued_event
import time:       283 |        283 |                       openai.types.responses.response_created_event
import time:       280 |        280 |                       openai.types.responses.response_completed_event
import time:       676 |        676 |                       openai.types.responses.response_text_done_event
import time:       342 |        342 |                       openai.types.responses.response_audio_done_event
import time:       306 |        306 |                       openai.types.responses.response_incomplete_event
import time:       686 |        686 |                       openai.types.responses.response_text_delta_event
import time:       372 |        372 |                       openai.types.responses.response_audio_delta_event
import time:       308 |        308 |                       openai.types.responses.response_in_progress_event
import time:       347 |        347 |                       openai.types.responses.response_refusal_done_event
import time:       369 |        369 |                       openai.types.responses.response_refusal_delta_event
import time:       258 |        258 |                       openai.types.responses.response_mcp_call_failed_event
import time:       351 |        351 |                       openai.types.responses.response_output_item_done_event
import time:       338 |        338 |                       openai.types.responses.response_content_part_done_event
import time:       368 |        368 |                       openai.types.responses.response_output_item_added_event
import time:       320 |        320 |                       openai.types.responses.response_content_part_added_event
import time:       268 |        268 |                       openai.types.responses.response_mcp_call_completed_event
import time:       264 |        264 |                       openai.types.responses.response_mcp_call_in_progress_event
import time:       233 |        233 |                       openai.types.responses.response_audio_transcript_done_event
import time:       276 |        276 |                       openai.types.responses.response_mcp_list_tools_failed_event
import time:       356 |        356 |                       openai.types.responses.response_audio_transcript_delta_event
import time:       357 |        357 |                       openai.types.responses.response_reasoning_summary_done_event
import time:       282 |        282 |                       openai.types.responses.response_mcp_call_arguments_done_event
import time:       369 |        369 |                       openai.types.responses.response_reasoning_summary_delta_event
import time:       289 |        289 |                       openai.types.responses.response_image_gen_call_completed_event
import time:       295 |        295 |                       openai.types.responses.response_mcp_call_arguments_delta_event
import time:       263 |        263 |                       openai.types.responses.response_mcp_list_tools_completed_event
import time:       264 |        264 |                       openai.types.responses.response_image_gen_call_generating_event
import time:       348 |        348 |                       openai.types.responses.response_web_search_call_completed_event
import time:       338 |        338 |                       openai.types.responses.response_web_search_call_searching_event
import time:       270 |        270 |                       openai.types.responses.response_file_search_call_completed_event
import time:       259 |        259 |                       openai.types.responses.response_file_search_call_searching_event
import time:       265 |        265 |                       openai.types.responses.response_image_gen_call_in_progress_event
import time:       381 |        381 |                       openai.types.responses.response_mcp_list_tools_in_progress_event
import time:       481 |        481 |                       openai.types.responses.response_reasoning_summary_part_done_event
import time:       334 |        334 |                       openai.types.responses.response_reasoning_summary_text_done_event
import time:       357 |        357 |                       openai.types.responses.response_web_search_call_in_progress_event
import time:       267 |        267 |                       openai.types.responses.response_file_search_call_in_progress_event
import time:       291 |        291 |                       openai.types.responses.response_function_call_arguments_done_event
import time:       296 |        296 |                       openai.types.responses.response_image_gen_call_partial_image_event
import time:       452 |        452 |                       openai.types.responses.response_output_text_annotation_added_event
import time:       470 |        470 |                       openai.types.responses.response_reasoning_summary_part_added_event
import time:       317 |        317 |                       openai.types.responses.response_reasoning_summary_text_delta_event
import time:       373 |        373 |                       openai.types.responses.response_function_call_arguments_delta_event
import time:       359 |        359 |                       openai.types.responses.response_code_interpreter_call_code_done_event
import time:       347 |        347 |                       openai.types.responses.response_code_interpreter_call_completed_event
import time:       369 |        369 |                       openai.types.responses.response_code_interpreter_call_code_delta_event
import time:       424 |        424 |                       openai.types.responses.response_code_interpreter_call_in_progress_event
import time:       353 |        353 |                       openai.types.responses.response_code_interpreter_call_interpreting_event
import time:      1244 |      17693 |                     openai.types.responses.response_stream_event
import time:       290 |        290 |                     openai.types.responses.tool_choice_mcp_param
import time:       307 |        307 |                     openai.types.responses.input_item_list_params
import time:       226 |        226 |                       openai.types.responses.tool_choice_types_param
import time:       275 |        275 |                           openai.types.responses.response_format_text_json_schema_config_param
import time:       217 |        491 |                         openai.types.responses.response_format_text_config_param
import time:       261 |        752 |                       openai.types.responses.response_text_config_param
import time:       220 |        220 |                       openai.types.responses.tool_choice_function_param
import time:       530 |       1727 |                     openai.types.responses.response_create_params
import time:       265 |        265 |                     openai.types.responses.response_retrieve_params
import time:      1434 |       1434 |                     openai.types.responses.response_input_item_param
import time:       286 |        286 |                     openai.types.responses.response_input_content_param
import time:      1026 |      84156 |                   openai.types.responses
import time:        18 |      84173 |                 openai.types.responses.response_input_text
import time:      1238 |      85411 |               openai.types.graders.label_model_grader
import time:      1007 |       1007 |               openai.types.graders.score_model_grader
import time:       427 |        427 |               openai.types.graders.string_check_grader
import time:       392 |        392 |               openai.types.graders.text_similarity_grader
import time:       496 |      88563 |             openai.types.graders.multi_grader
import time:       298 |        298 |               openai.types.graders.python_grader_param
import time:       414 |        414 |               openai.types.graders.label_model_grader_param
import time:       415 |        415 |               openai.types.graders.score_model_grader_param
import time:       263 |        263 |               openai.types.graders.string_check_grader_param
import time:       264 |        264 |               openai.types.graders.text_similarity_grader_param
import time:       371 |       2022 |             openai.types.graders.multi_grader_param
import time:       447 |      91031 |           openai.types.graders
import time:        30 |      91061 |         openai.types.graders.python_grader_param
import time:       718 |      96032 |       openai.types.eval_create_params
import time:       340 |        340 |         openai.types.eval_custom_data_source_config
import time:       860 |        860 |         openai.types.eval_stored_completions_data_source_config
import time:      1303 |       2503 |       openai.types.eval_list_response
import time:       435 |        435 |       openai.types.eval_update_params
import time:       245 |        245 |       openai.types.file_create_params
import time:       226 |        226 |       openai.types.batch_create_params
import time:      1206 |       1206 |       openai.types.eval_create_response
import time:       455 |        455 |       openai.types.eval_delete_response
import time:      1248 |       1248 |       openai.types.eval_update_response
import time:       254 |        254 |       openai.types.upload_create_params
import time:       376 |        376 |       openai.types.vector_store_deleted
import time:       175 |        175 |       openai.types.audio_response_format
import time:       224 |        224 |       openai.types.container_list_params
import time:       427 |        427 |       openai.types.image_generate_params
import time:      1228 |       1228 |       openai.types.eval_retrieve_response
import time:       369 |        369 |         openai.types.other_file_chunking_strategy_object
import time:       529 |        529 |           openai.types.static_file_chunking_strategy
import time:       424 |        953 |         openai.types.static_file_chunking_strategy_object
import time:       370 |       1691 |       openai.types.file_chunking_strategy
import time:       704 |        704 |         openai.types.image_gen_completed_event
import time:       675 |        675 |         openai.types.image_gen_partial_image_event
import time:       245 |       1623 |       openai.types.image_gen_stream_event
import time:       235 |        235 |       openai.types.upload_complete_params
import time:       240 |        240 |       openai.types.container_create_params
import time:       654 |        654 |       openai.types.container_list_response
import time:       250 |        250 |       openai.types.embedding_create_params
import time:       711 |        711 |         openai.types.image_edit_completed_event
import time:       547 |        547 |         openai.types.image_edit_partial_image_event
import time:       245 |       1501 |       openai.types.image_edit_stream_event
import time:       460 |        460 |       openai.types.completion_create_params
import time:       218 |        218 |           openai.types.moderation_text_input_param
import time:       233 |        233 |           openai.types.moderation_image_url_input_param
import time:       221 |        671 |         openai.types.moderation_multi_modal_input_param
import time:       251 |        922 |       openai.types.moderation_create_params
import time:       304 |        304 |       openai.types.vector_store_list_params
import time:       488 |        488 |       openai.types.container_create_response
import time:       490 |        490 |       openai.types.create_embedding_response
import time:       342 |        342 |       openai.types.moderation_create_response
import time:       188 |        188 |           openai.types.auto_file_chunking_strategy_param
import time:       296 |        296 |             openai.types.static_file_chunking_strategy_param
import time:       512 |        807 |           openai.types.static_file_chunking_strategy_object_param
import time:       301 |       1294 |         openai.types.file_chunking_strategy_param
import time:       285 |       1579 |       openai.types.vector_store_create_params
import time:       290 |        290 |       openai.types.vector_store_search_params
import time:       311 |        311 |       openai.types.vector_store_update_params
import time:       495 |        495 |       openai.types.container_retrieve_response
import time:       530 |        530 |       openai.types.vector_store_search_response
import time:       396 |        396 |       openai.types.websocket_connection_options
import time:       286 |        286 |       openai.types.image_create_variation_params
import time:      1197 |     369505 |     openai.types
import time:       634 |        634 |       openai._exceptions
import time:       441 |        441 |       openai._qs
import time:      2212 |       2212 |       openai._version
import time:       385 |        385 |       openai._streaming
import time:       312 |        312 |             shlex
import time:       802 |       1113 |           distro.distro
import time:       351 |       1463 |         distro
import time:       548 |        548 |         openai._response
import time:       340 |        340 |         openai._legacy_response
import time:        53 |         53 |         httpx_aiohttp
import time:      1606 |       4009 |       openai._base_client
import time:       700 |       8379 |     openai._client
import time:       259 |        259 |     openai._utils._resources_proxy
import time:       200 |        200 |         openai.lib._pydantic
import time:       687 |        887 |       openai.lib._tools
import time:       295 |        295 |         openai.lib._parsing._completions
import time:       229 |        524 |       openai.lib._parsing
import time:       276 |       1685 |     openai.lib
import time:       435 |        435 |     openai.lib.azure
import time:       294 |        294 |     openai.version
import time:       253 |        253 |     openai.lib._old_api
import time:      1070 |       1070 |           openai.types.beta.thread
import time:      1044 |       1044 |               openai.types.beta.function_tool
import time:      1380 |       1380 |               openai.types.beta.file_search_tool
import time:       579 |        579 |               openai.types.beta.code_interpreter_tool
import time:       442 |       3443 |             openai.types.beta.assistant_tool
import time:       426 |        426 |             openai.types.beta.assistant_response_format_option
import time:      1264 |       5132 |           openai.types.beta.assistant
import time:       842 |        842 |           openai.types.beta.thread_deleted
import time:       551 |        551 |           openai.types.beta.assistant_deleted
import time:       548 |        548 |           openai.types.beta.function_tool_param
import time:       425 |        425 |             openai.types.beta.file_search_tool_param
import time:       534 |        534 |             openai.types.beta.code_interpreter_tool_param
import time:       674 |       1631 |           openai.types.beta.assistant_tool_param
import time:       380 |        380 |                   openai.types.beta.threads.run_status
import time:       272 |        272 |                       openai.types.beta.assistant_tool_choice_function
import time:       334 |        606 |                     openai.types.beta.assistant_tool_choice
import time:       328 |        933 |                   openai.types.beta.assistant_tool_choice_option
import time:       449 |        449 |                   openai.types.beta.threads.required_action_function_tool_call
import time:      3104 |       4864 |                 openai.types.beta.threads.run
import time:       477 |        477 |                     openai.types.beta.threads.file_path_annotation
import time:       467 |        467 |                     openai.types.beta.threads.file_citation_annotation
import time:       242 |       1185 |                   openai.types.beta.threads.annotation
import time:       353 |       1537 |                 openai.types.beta.threads.text
import time:       328 |        328 |                     openai.types.beta.threads.text_content_block
import time:       302 |        302 |                     openai.types.beta.threads.refusal_content_block
import time:       278 |        278 |                       openai.types.beta.threads.image_url
import time:       337 |        615 |                     openai.types.beta.threads.image_url_content_block
import time:       301 |        301 |                       openai.types.beta.threads.image_file
import time:       417 |        718 |                     openai.types.beta.threads.image_file_content_block
import time:       208 |       2169 |                   openai.types.beta.threads.message_content
import time:      1054 |       3223 |                 openai.types.beta.threads.message
import time:       575 |        575 |                     openai.types.beta.threads.file_path_delta_annotation
import time:       522 |        522 |                     openai.types.beta.threads.file_citation_delta_annotation
import time:       248 |       1345 |                   openai.types.beta.threads.annotation_delta
import time:       400 |       1744 |                 openai.types.beta.threads.text_delta
import time:       380 |        380 |                     openai.types.beta.threads.text_delta_block
import time:       316 |        316 |                     openai.types.beta.threads.refusal_delta_block
import time:       553 |        553 |                       openai.types.beta.threads.image_url_delta
import time:       472 |       1024 |                     openai.types.beta.threads.image_url_delta_block
import time:       245 |        245 |                       openai.types.beta.threads.image_file_delta
import time:      1127 |       1372 |                     openai.types.beta.threads.image_file_delta_block
import time:       260 |       3351 |                   openai.types.beta.threads.message_content_delta
import time:       390 |       3741 |                 openai.types.beta.threads.message_delta
import time:       156 |        156 |                 openai.types.beta.threads.image_url_param
import time:       244 |        244 |                 openai.types.beta.threads.message_deleted
import time:       246 |        246 |                 openai.types.beta.threads.run_list_params
import time:       134 |        134 |                 openai.types.beta.threads.image_file_param
import time:       528 |        528 |                             openai.types.beta.threads.runs.function_tool_call
import time:       920 |        920 |                             openai.types.beta.threads.runs.file_search_tool_call
import time:       827 |        827 |                             openai.types.beta.threads.runs.code_interpreter_tool_call
import time:       234 |       2508 |                           openai.types.beta.threads.runs.tool_call
import time:       345 |       2852 |                         openai.types.beta.threads.runs.tool_calls_step_details
import time:       425 |        425 |                         openai.types.beta.threads.runs.message_creation_step_details
import time:      1339 |       4615 |                       openai.types.beta.threads.runs.run_step
import time:       513 |        513 |                             openai.types.beta.threads.runs.function_tool_call_delta
import time:       341 |        341 |                             openai.types.beta.threads.runs.file_search_tool_call_delta
import time:       329 |        329 |                               openai.types.beta.threads.runs.code_interpreter_logs
import time:       413 |        413 |                               openai.types.beta.threads.runs.code_interpreter_output_image
import time:       486 |       1227 |                             openai.types.beta.threads.runs.code_interpreter_tool_call_delta
import time:       258 |       2338 |                           openai.types.beta.threads.runs.tool_call_delta
import time:       371 |       2708 |                         openai.types.beta.threads.runs.tool_call_delta_object
import time:       447 |        447 |                         openai.types.beta.threads.runs.run_step_delta_message_delta
import time:       367 |       3521 |                       openai.types.beta.threads.runs.run_step_delta
import time:       205 |        205 |                       openai.types.beta.threads.runs.run_step_include
import time:       281 |        281 |                       openai.types.beta.threads.runs.step_list_params
import time:       326 |        326 |                       openai.types.beta.threads.runs.run_step_delta_event
import time:       230 |        230 |                       openai.types.beta.threads.runs.step_retrieve_params
import time:       261 |       9436 |                     openai.types.beta.threads.runs
import time:        20 |       9455 |                   openai.types.beta.threads.runs.run_step_include
import time:       210 |        210 |                     openai.types.beta.threads.text_content_block_param
import time:       137 |        137 |                     openai.types.beta.threads.image_url_content_block_param
import time:       134 |        134 |                     openai.types.beta.threads.image_file_content_block_param
import time:       154 |        633 |                   openai.types.beta.threads.message_content_part_param
import time:       177 |        177 |                       openai.types.beta.assistant_tool_choice_function_param
import time:       207 |        383 |                     openai.types.beta.assistant_tool_choice_param
import time:       189 |        572 |                   openai.types.beta.assistant_tool_choice_option_param
import time:       201 |        201 |                   openai.types.beta.assistant_response_format_option_param
import time:       669 |      11528 |                 openai.types.beta.threads.run_create_params
import time:       324 |        324 |                 openai.types.beta.threads.run_update_params
import time:       309 |        309 |                 openai.types.beta.threads.message_delta_event
import time:       160 |        160 |                 openai.types.beta.threads.message_list_params
import time:       222 |        222 |                 openai.types.beta.threads.message_create_params
import time:       241 |        241 |                 openai.types.beta.threads.message_update_params
import time:       336 |        336 |                 openai.types.beta.threads.run_submit_tool_outputs_params
import time:       508 |      29510 |               openai.types.beta.threads
import time:        16 |      29525 |             openai.types.beta.threads.message_content_part_param
import time:       716 |      30241 |           openai.types.beta.thread_create_params
import time:       329 |        329 |           openai.types.beta.thread_update_params
import time:       235 |        235 |           openai.types.beta.assistant_list_params
import time:      3136 |       3136 |           openai.types.beta.assistant_stream_event
import time:       563 |        563 |           openai.types.beta.assistant_create_params
import time:       409 |        409 |           openai.types.beta.assistant_update_params
import time:      1284 |       1284 |           openai.types.beta.thread_create_and_run_params
import time:       446 |      46413 |         openai.types.beta
import time:       494 |      46907 |       openai.lib.streaming._assistants
import time:       588 |      47494 |     openai.lib.streaming
import time:       681 |        681 |     openai._module_client
import time:      1069 |     430051 |   openai
import time:       851 |        851 |       anthropic.types.model
import time:       211 |        211 |           pydantic.generics
import time:       850 |        850 |           anthropic._types
import time:       350 |        350 |             anthropic._utils._sync
import time:       174 |        174 |             anthropic._utils._proxy
import time:       662 |        662 |               anthropic._compat
import time:       326 |        988 |             anthropic._utils._utils
import time:       187 |        187 |             anthropic._utils._typing
import time:       232 |        232 |             anthropic._utils._streams
import time:       557 |        557 |               anthropic._files
import time:       236 |        792 |             anthropic._utils._transform
import time:       250 |        250 |             anthropic._utils._reflection
import time:       374 |       3343 |           anthropic._utils
import time:       829 |        829 |           anthropic._constants
import time:      7871 |      13102 |         anthropic._models
import time:       571 |      13673 |       anthropic.types.usage
import time:       273 |        273 |           anthropic.types.shared.billing_error
import time:       409 |        409 |           anthropic.types.shared.not_found_error
import time:       316 |        316 |           anthropic.types.shared.api_error_object
import time:       273 |        273 |           anthropic.types.shared.overloaded_error
import time:       259 |        259 |           anthropic.types.shared.permission_error
import time:       301 |        301 |           anthropic.types.shared.rate_limit_error
import time:       285 |        285 |           anthropic.types.shared.authentication_error
import time:       466 |        466 |           anthropic.types.shared.gateway_timeout_error
import time:       288 |        288 |           anthropic.types.shared.invalid_request_error
import time:       462 |       3329 |         anthropic.types.shared.error_object
import time:       276 |        276 |         anthropic.types.shared.error_response
import time:       444 |       4049 |       anthropic.types.shared
import time:       304 |        304 |           anthropic.types.text_block
import time:       387 |        387 |           anthropic.types.tool_use_block
import time:       331 |       1021 |         anthropic.types.content_block
import time:       641 |       1661 |       anthropic.types.message
import time:       322 |        322 |         anthropic.types.beta_api_error
import time:       262 |        262 |         anthropic.types.beta_billing_error
import time:       410 |        410 |         anthropic.types.beta_not_found_error
import time:       275 |        275 |         anthropic.types.beta_overloaded_error
import time:       397 |        397 |         anthropic.types.beta_permission_error
import time:       258 |        258 |         anthropic.types.beta_rate_limit_error
import time:       345 |        345 |         anthropic.types.beta_authentication_error
import time:       324 |        324 |         anthropic.types.beta_gateway_timeout_error
import time:       250 |        250 |         anthropic.types.beta_invalid_request_error
import time:       423 |       3263 |       anthropic.types.beta_error
import time:       384 |        384 |       anthropic.types.completion
import time:       384 |        384 |       anthropic.types.model_info
import time:       281 |        281 |       anthropic.types.text_delta
import time:       216 |        216 |         anthropic.types.cache_control_ephemeral_param
import time:       295 |        511 |       anthropic.types.tool_param
import time:       242 |        242 |       anthropic.types.model_param
import time:       199 |        199 |         anthropic.types.text_block_param
import time:       297 |        297 |         anthropic.types.image_block_param
import time:       247 |        247 |           anthropic.types.base64_pdf_source_param
import time:       170 |        416 |         anthropic.types.document_block_param
import time:       201 |        201 |         anthropic.types.tool_use_block_param
import time:       317 |        317 |         anthropic.types.tool_result_block_param
import time:       280 |       1707 |       anthropic.types.message_param
import time:       203 |        203 |       anthropic.types.metadata_param
import time:       447 |        447 |       anthropic.types.input_json_delta
import time:       232 |        232 |       anthropic.types.model_list_params
import time:       176 |        176 |         anthropic.types.tool_choice_any_param
import time:       384 |        384 |         anthropic.types.tool_choice_auto_param
import time:       132 |        132 |         anthropic.types.tool_choice_tool_param
import time:       195 |        885 |       anthropic.types.tool_choice_param
import time:       348 |        348 |         anthropic.types.raw_message_stop_event
import time:       209 |        556 |       anthropic.types.message_stop_event
import time:       356 |        356 |       anthropic.types.beta_error_response
import time:       241 |        241 |       anthropic.types.content_block_param
import time:       273 |        273 |           anthropic.types.message_delta_usage
import time:       491 |        764 |         anthropic.types.raw_message_delta_event
import time:       207 |        971 |       anthropic.types.message_delta_event
import time:       324 |        324 |         anthropic.types.raw_message_start_event
import time:       197 |        521 |       anthropic.types.message_start_event
import time:       211 |        211 |       anthropic.types.anthropic_beta_param
import time:       310 |        310 |           anthropic.types.raw_content_block_stop_event
import time:       348 |        348 |           anthropic.types.raw_content_block_delta_event
import time:       420 |        420 |           anthropic.types.raw_content_block_start_event
import time:       229 |       1305 |         anthropic.types.raw_message_stream_event
import time:       209 |       1513 |       anthropic.types.message_stream_event
import time:       569 |        569 |       anthropic.types.message_tokens_count
import time:       355 |        355 |       anthropic.types.message_create_params
import time:       452 |        452 |       anthropic.types.completion_create_params
import time:       121 |        121 |       anthropic.types.content_block_stop_event
import time:       103 |        103 |       anthropic.types.content_block_delta_event
import time:       103 |        103 |       anthropic.types.content_block_start_event
import time:       178 |        178 |       anthropic.types.message_count_tokens_params
import time:      1089 |      36096 |     anthropic.types
import time:       423 |        423 |       anthropic._exceptions
import time:       338 |        338 |       anthropic._qs
import time:       190 |        190 |       anthropic._version
import time:       790 |        790 |                 anthropic._streaming
import time:        51 |         51 |                   anthropic._decoders
import time:       219 |        269 |                 anthropic._decoders.jsonl
import time:       467 |       1525 |               anthropic._legacy_response
import time:       573 |        573 |                   anthropic._response
import time:      1448 |       2020 |                 anthropic._base_client
import time:       140 |       2160 |               anthropic._resource
import time:      1907 |       1907 |               anthropic.pagination
import time:       823 |        823 |                 anthropic.types.beta.beta_usage
import time:       557 |        557 |                     anthropic.types.beta.beta_text_block
import time:       353 |        353 |                     anthropic.types.beta.beta_tool_use_block
import time:       265 |       1175 |                   anthropic.types.beta.beta_content_block
import time:       638 |       1813 |                 anthropic.types.beta.beta_message
import time:       437 |        437 |                 anthropic.types.beta.beta_model_info
import time:       513 |        513 |                 anthropic.types.beta.beta_text_delta
import time:       449 |        449 |                   anthropic.types.beta.beta_cache_control_ephemeral_param
import time:       403 |        852 |                 anthropic.types.beta.beta_tool_param
import time:       337 |        337 |                 anthropic.types.beta.model_list_params
import time:       233 |        233 |                     anthropic.types.beta.beta_text_block_param
import time:       308 |        308 |                     anthropic.types.beta.beta_image_block_param
import time:       261 |        261 |                     anthropic.types.beta.beta_tool_use_block_param
import time:       192 |        192 |                       anthropic.types.beta.beta_base64_pdf_source_param
import time:       224 |        416 |                     anthropic.types.beta.beta_base64_pdf_block_param
import time:       286 |        286 |                     anthropic.types.beta.beta_tool_result_block_param
import time:       269 |       1769 |                   anthropic.types.beta.beta_content_block_param
import time:       257 |       2025 |                 anthropic.types.beta.beta_message_param
import time:       235 |        235 |                 anthropic.types.beta.beta_metadata_param
import time:       375 |        375 |                 anthropic.types.beta.beta_input_json_delta
import time:       252 |        252 |                   anthropic.types.beta.beta_tool_bash_20241022_param
import time:       172 |        172 |                   anthropic.types.beta.beta_tool_text_editor_20241022_param
import time:       264 |        264 |                   anthropic.types.beta.beta_tool_computer_use_20241022_param
import time:       239 |        925 |                 anthropic.types.beta.beta_tool_union_param
import time:       228 |        228 |                     anthropic.types.beta.beta_tool_choice_any_param
import time:       150 |        150 |                     anthropic.types.beta.beta_tool_choice_auto_param
import time:       227 |        227 |                     anthropic.types.beta.beta_tool_choice_tool_param
import time:       156 |        759 |                   anthropic.types.beta.beta_tool_choice_param
import time:       393 |       1151 |                 anthropic.types.beta.message_create_params
import time:       303 |        303 |                 anthropic.types.beta.beta_message_delta_usage
import time:       306 |        306 |                 anthropic.types.beta.beta_message_tokens_count
import time:       589 |        589 |                 anthropic.types.beta.beta_raw_message_stop_event
import time:       323 |        323 |                 anthropic.types.beta.message_count_tokens_params
import time:       578 |        578 |                 anthropic.types.beta.beta_raw_message_delta_event
import time:       238 |        238 |                 anthropic.types.beta.beta_raw_message_start_event
import time:       279 |        279 |                   anthropic.types.beta.beta_raw_content_block_stop_event
import time:       292 |        292 |                   anthropic.types.beta.beta_raw_content_block_delta_event
