import time: self [us] | cumulative | imported package
import time:       244 |        443 |                           email.encoders
import time:       209 |       1619 |                         email.charset
import time:       654 |       2936 |                       email.utils
import time:       570 |        570 |                             termios
import time:        47 |         47 |                             pywatchman
import time:       403 |       1018 |                           django.utils.autoreload
import time:       407 |       1425 |                         django.utils.translation
import time:       413 |       1837 |                       django.utils.dates
import time:       490 |        490 |                             sysconfig
import time:       544 |        544 |                             _sysconfigdata__darwin_darwin
import time:       469 |        469 |                             _osx_support
import time:      1214 |       2716 |                           zoneinfo._tzpath
import time:       301 |        301 |                           zoneinfo._common
import time:       794 |        794 |                           _zoneinfo
import time:       269 |       4078 |                         zoneinfo
import time:       310 |       4388 |                       django.utils.timezone
import time:       399 |      10115 |                     django.utils.dateformat
import time:       315 |        315 |                       django.utils.safestring
import time:       335 |        650 |                     django.utils.numberformat
import time:       320 |      11839 |                   django.utils.formats
import time:      1698 |       1698 |                       html.entities
import time:       420 |       2117 |                     html
import time:       732 |        732 |                           _json
import time:       443 |       1174 |                         json.scanner
import time:       451 |       1625 |                       json.decoder
import time:       587 |        587 |                       json.encoder
import time:       329 |       2540 |                     json
import time:       953 |        953 |                       _markupbase
import time:      1239 |       2191 |                     html.parser
import time:      1413 |       1413 |                       ipaddress
import time:       358 |        358 |                       django.utils.datastructures
import time:       384 |       2154 |                     django.utils.http
import time:       513 |        513 |                       gzip
import time:       619 |       1132 |                     django.utils.text
import time:       980 |      11111 |                   django.utils.html
import time:       158 |        158 |                   django.template.exceptions
import time:       895 |      24324 |                 django.template.base
import time:       319 |        319 |                 django.template.library
import time:       528 |      25170 |               django.template.engine
import time:       601 |        601 |               django.template.utils
import time:       104 |        104 |                   django.template.backends
import time:       114 |        114 |                     django.utils._os
import time:       138 |        252 |                   django.template.backends.base
import time:       289 |        643 |                 django.template.backends.django
import time:       148 |        791 |               django.template.autoreload
import time:       479 |      27039 |             django.template
import time:        13 |      27051 |           django.template.backends
import time:        12 |      27062 |         django.template.backends.django
import time:       349 |      27411 |       django.core.checks.templates
import time:       720 |        720 |           django.conf.locale
import time:       885 |       1604 |         django.utils.translation.trans_real
import time:       310 |       1914 |       django.core.checks.translation
import time:       332 |        332 |       django.core.checks.urls
import time:       551 |      53937 |     django.core.checks
import time:       230 |        230 |       django.utils.termcolors
import time:        48 |         48 |       colorama
import time:       305 |        582 |     django.core.management.color
import time:       762 |      55281 |   django.core.management.base
import time:       852 |     109885 | django.core.management
import time:      1021 |       1021 |     dotenv.parser
import time:       511 |        511 |     dotenv.variables
import time:       717 |       2247 |   dotenv.main
import time:       457 |       2704 | dotenv
/Users/seon/Desktop/ai_of_ai_private/myenv/lib/python3.9/site-packages/django/conf/__init__.py:241: RemovedInDjango50Warning: The default value of USE_TZ will change from False to True in Django 5.0. Set USE_TZ to False in your project settings if you want to keep the current default behavior.
  warnings.warn(
import time:      1170 |       1170 |           http
import time:      2981 |       2981 |           http.cookies
import time:       465 |       4616 |         django.http.cookie
import time:      1958 |       1958 |           django.core.signing
import time:       480 |        480 |               django.core.files.temp
import time:       762 |       1242 |             django.core.files.uploadedfile
import time:      1976 |       3218 |           django.core.files.uploadhandler
import time:       521 |        521 |           django.http.multipartparser
import time:      2110 |       7805 |         django.http.request
import time:        75 |         75 |             winreg
import time:       730 |        804 |           mimetypes
import time:      2621 |       2621 |           email.header
import time:       404 |        404 |                 email._policybase
import time:       904 |       1308 |               email.feedparser
import time:      2264 |       3571 |             email.parser
import time:      1473 |       1473 |               uu
import time:      1413 |       1413 |               email._encoded_words
import time:       575 |        575 |               email.iterators
import time:      1460 |       4919 |             email.message
import time:      1856 |      10345 |           http.client
import time:       416 |        416 |                     django.db.models.utils
import time:       595 |       1010 |                   django.db.models.signals
import time:      2196 |       2196 |                         _uuid
import time:      1345 |       3541 |                       uuid
import time:       998 |        998 |                                 django.template.loader
import time:      1036 |       2034 |                               django.forms.renderers
import time:      1225 |       3259 |                             django.forms.utils
import time:      2326 |       2326 |                                 django.templatetags
import time:       766 |       3092 |                               django.templatetags.static
import time:       741 |        741 |                               django.utils.topological_sort
import time:      1787 |       5619 |                             django.forms.widgets
import time:      2768 |      11646 |                           django.forms.boundfield
import time:      1052 |       1052 |                               django.utils.deconstruct
import time:       520 |        520 |                               django.utils.ipv6
import time:      3488 |       5058 |                             django.core.validators
import time:       636 |        636 |                             django.utils.dateparse
import time:       527 |        527 |                             django.utils.duration
import time:      2454 |       8674 |                           django.forms.fields
import time:       753 |        753 |                           django.forms.forms
import time:      1730 |       1730 |                           django.forms.formsets
import time:      2746 |       2746 |                           django.forms.models
import time:       820 |      26367 |                         django.forms
import time:      1286 |       1286 |                         django.db.models.constants
import time:      1489 |       1489 |                           django.utils.tree
import time:      2702 |       4190 |                         django.db.models.query_utils
import time:      6151 |      37992 |                       django.db.models.fields
import time:      6376 |      47908 |                     django.db.models.expressions
import time:      7023 |       7023 |                             django.db.models.lookups
import time:       331 |        331 |                             django.db.models.fields.mixins
import time:      3599 |      10952 |                           django.db.models.fields.json
import time:      2068 |      13019 |                         django.db.models.functions.comparison
import time:       964 |        964 |                         django.db.models.functions.datetime
import time:       675 |        675 |                           django.db.models.functions.mixins
import time:      1176 |       1851 |                         django.db.models.functions.math
import time:       849 |        849 |                         django.db.models.functions.text
import time:       495 |        495 |                         django.db.models.functions.window
import time:      3812 |      20989 |                       django.db.models.functions
